0.6706	297.7143
0.6858	286.0000
0.7112	275.5000
0.7366	268.0000
0.7620	257.5000
0.7874	250.0000
0.8128	246.0000
0.8382	237.8333
0.8636	227.2000
0.8890	222.5000
0.9144	218.0000
0.9398	210.8333
0.9652	205.8333
0.9906	199.4444
1.0160	194.4286
1.0414	191.0000
1.0668	186.5000
1.0922	180.9000
1.1176	177.2500
1.1430	173.4000
1.1684	167.3333
1.1938	167.2000
1.2192	163.2000
1.2446	158.8333
1.2700	154.8571
1.2954	149.8333
1.3208	148.8333
1.3462	145.7778
1.3716	144.6667
1.4224	138.8333
1.4732	135.0000
1.5240	128.3333
1.5748	124.0000
1.6256	121.8000
1.6764	117.8571
1.7272	114.3333
1.7780	112.4286
1.8288	110.7000
1.8796	102.7143
1.9304	103.3750
1.9812	101.0000
2.0320	96.1429
2.0828	95.4286
2.1336	91.4286
2.2352	87.8571
2.3368	84.6000
2.4384	79.8000
2.5908	75.0000
2.6924	73.0000
2.8448	69.3333
2.9972	62.2857
3.2004	60.0000
3.8100	50.8000

